Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10
4526000000000000000000;83252000000000000;410000000000000000;8800000000000000000;1290000000000000000;3220000000000000000;1260000000000000000;378800000000000000;-1222300000000000000
3585000000000000000000;83014000000000000;210000000000000000;70990000000000000000;11060000000000000000;24010000000000000000;11380000000000000000;378600000000000000;-1222200000000000000
3521000000000000000000;72574000000000000;520000000000000000;14670000000000000000;1900000000000000000;4960000000000000000;1770000000000000000;378500000000000000;-1222400000000000000
3413000000000000000000;56431000000000000;520000000000000000;12740000000000000000;2350000000000000000;5580000000000000000;2190000000000000000;378500000000000000;-1222500000000000000
3422000000000000000000;38462000000000000;520000000000000000;16270000000000000000;2800000000000000000;5650000000000000000;2590000000000000000;378500000000000000;-1222500000000000000
2697000000000000000000;40368000000000000;520000000000000000;9190000000000000000;2130000000000000000;4130000000000000000;1930000000000000000;378500000000000000;-1222500000000000000
2992000000000000000000;36591000000000000;520000000000000000;25350000000000000000;4890000000000000000;10940000000000000000;5140000000000000000;378400000000000000;-1222500000000000000
2414000000000000000000;31200000000000000;520000000000000000;31040000000000000000;6870000000000000000;11570000000000000000;6470000000000000000;378400000000000000;-1222500000000000000
2267000000000000000000;20804000000000000;420000000000000000;25550000000000000000;6650000000000000000;12060000000000000000;5950000000000000000;378400000000000000;-1222600000000000000
2611000000000000000000;36912000000000000;520000000000000000;35490000000000000000;7070000000000000000;15510000000000000000;7140000000000000000;378400000000000000;-1222500000000000000
2815000000000000000000;32031000000000000;520000000000000000;22020000000000000000;4340000000000000000;9100000000000000000;4020000000000000000;378500000000000000;-1222600000000000000
2418000000000000000000;32705000000000000;520000000000000000;35030000000000000000;7520000000000000000;15040000000000000000;7340000000000000000;378500000000000000;-1222600000000000000
2135000000000000000000;30750000000000000;520000000000000000;24910000000000000000;4740000000000000000;10980000000000000000;4680000000000000000;378500000000000000;-1222600000000000000
1913000000000000000000;26736000000000000;520000000000000000;6960000000000000000;1910000000000000000;3450000000000000000;1740000000000000000;378400000000000000;-1222600000000000000
1592000000000000000000;19167000000000000;520000000000000000;26430000000000000000;6260000000000000000;12120000000000000000;6200000000000000000;378500000000000000;-1222600000000000000
1400000000000000000000;21250000000000000;500000000000000000;11200000000000000000;2830000000000000000;6970000000000000000;2640000000000000000;378500000000000000;-1222600000000000000
1525000000000000000000;27750000000000000;520000000000000000;19660000000000000000;3470000000000000000;7930000000000000000;3310000000000000000;378500000000000000;-1222700000000000000
1555000000000000000000;21202000000000000;520000000000000000;12280000000000000000;2930000000000000000;6480000000000000000;3030000000000000000;378500000000000000;-1222700000000000000
1587000000000000000000;19911000000000000;500000000000000000;22390000000000000000;4550000000000000000;9900000000000000000;4190000000000000000;378400000000000000;-1222600000000000000
1629000000000000000000;26033000000000000;520000000000000000;15030000000000000000;2980000000000000000;6900000000000000000;2750000000000000000;378400000000000000;-1222700000000000000
1475000000000000000000;13578000000000000;400000000000000000;7510000000000000000;1840000000000000000;4090000000000000000;1660000000000000000;378500000000000000;-1222700000000000000
1598000000000000000000;17135000000000000;420000000000000000;16390000000000000000;3670000000000000000;9290000000000000000;3660000000000000000;378500000000000000;-1222700000000000000
1139000000000000000000;17250000000000000;520000000000000000;24360000000000000000;5410000000000000000;10150000000000000000;4780000000000000000;378400000000000000;-1222700000000000000
997000000000000000000;21806000000000000;520000000000000000;16880000000000000000;3370000000000000000;8530000000000000000;3250000000000000000;378400000000000000;-1222700000000000000
1326000000000000000000;26000000000000000;520000000000000000;22240000000000000000;4370000000000000000;10060000000000000000;4220000000000000000;378400000000000000;-1222700000000000000
1075000000000000000000;24038000000000000;410000000000000000;5350000000000000000;1230000000000000000;3170000000000000000;1190000000000000000;378500000000000000;-1222800000000000000
938000000000000000000;24597000000000000;490000000000000000;11300000000000000000;2440000000000000000;6070000000000000000;2390000000000000000;378500000000000000;-1222800000000000000
1055000000000000000000;18080000000000000;520000000000000000;18980000000000000000;4210000000000000000;11020000000000000000;3970000000000000000;378500000000000000;-1222800000000000000
1089000000000000000000;16424000000000000;500000000000000000;20820000000000000000;4920000000000000000;11310000000000000000;4730000000000000000;378400000000000000;-1222800000000000000
1320000000000000000000;16875000000000000;520000000000000000;7290000000000000000;1600000000000000000;3950000000000000000;1550000000000000000;378400000000000000;-1222800000000000000
1223000000000000000000;19274000000000000;490000000000000000;19160000000000000000;4470000000000000000;8630000000000000000;3780000000000000000;378400000000000000;-1222800000000000000
1152000000000000000000;19615000000000000;520000000000000000;21530000000000000000;4810000000000000000;11680000000000000000;4410000000000000000;378400000000000000;-1222800000000000000
1104000000000000000000;17969000000000000;480000000000000000;19220000000000000000;4090000000000000000;10260000000000000000;3350000000000000000;378400000000000000;-1222700000000000000
1049000000000000000000;13750000000000000;490000000000000000;16550000000000000000;3660000000000000000;7540000000000000000;3290000000000000000;378300000000000000;-1222700000000000000
1097000000000000000000;27303000000000000;510000000000000000;26650000000000000000;5740000000000000000;12580000000000000000;5360000000000000000;378300000000000000;-1222700000000000000
972000000000000000000;14861000000000000;490000000000000000;12150000000000000000;2820000000000000000;5700000000000000000;2640000000000000000;378300000000000000;-1222700000000000000
1045000000000000000000;10972000000000000;480000000000000000;17980000000000000000;4320000000000000000;9870000000000000000;3740000000000000000;378300000000000000;-1222700000000000000
1039000000000000000000;14103000000000000;520000000000000000;15110000000000000000;3900000000000000000;9010000000000000000;4030000000000000000;378300000000000000;-1222800000000000000
1914000000000000000000;34800000000000000;520000000000000000;14700000000000000000;3300000000000000000;6890000000000000000;3090000000000000000;378300000000000000;-1222600000000000000
1760000000000000000000;25898000000000000;520000000000000000;24320000000000000000;7150000000000000000;13770000000000000000;6960000000000000000;378300000000000000;-1222600000000000000
1554000000000000000000;20978000000000000;520000000000000000;16650000000000000000;4190000000000000000;9460000000000000000;3950000000000000000;378300000000000000;-1222600000000000000
1500000000000000000000;12852000000000000;510000000000000000;9360000000000000000;3110000000000000000;5170000000000000000;2490000000000000000;378300000000000000;-1222600000000000000
1188000000000000000000;10250000000000000;490000000000000000;7130000000000000000;2020000000000000000;4620000000000000000;1890000000000000000;378400000000000000;-1222600000000000000
1888000000000000000000;39643000000000000;520000000000000000;9500000000000000000;2020000000000000000;4670000000000000000;1980000000000000000;378400000000000000;-1222600000000000000
1844000000000000000000;30125000000000000;520000000000000000;14430000000000000000;3110000000000000000;6600000000000000000;2920000000000000000;378300000000000000;-1222600000000000000
1823000000000000000000;26768000000000000;520000000000000000;16560000000000000000;4200000000000000000;7180000000000000000;3820000000000000000;378300000000000000;-1222600000000000000
1425000000000000000000;20260000000000000;500000000000000000;11250000000000000000;3220000000000000000;6160000000000000000;3040000000000000000;378300000000000000;-1222600000000000000
1375000000000000000000;17348000000000000;430000000000000000;10070000000000000000;3120000000000000000;5580000000000000000;2530000000000000000;378200000000000000;-1222700000000000000
1875000000000000000000;9506000000000000;400000000000000000;6240000000000000000;1950000000000000000;4230000000000000000;1600000000000000000;378200000000000000;-1222600000000000000
1125000000000000000000;17750000000000000;400000000000000000;9460000000000000000;3750000000000000000;7000000000000000000;3520000000000000000;378200000000000000;-1222700000000000000
1719000000000000000000;9218000000000000;210000000000000000;8960000000000000000;4530000000000000000;7350000000000000000;4380000000000000000;378200000000000000;-1222700000000000000
938000000000000000000;15045000000000000;430000000000000000;18680000000000000000;4560000000000000000;10610000000000000000;4070000000000000000;378200000000000000;-1222700000000000000
975000000000000000000;11108000000000000;410000000000000000;32210000000000000000;8530000000000000000;19590000000000000000;7200000000000000000;378200000000000000;-1222700000000000000
1042000000000000000000;12475000000000000;520000000000000000;16300000000000000000;4560000000000000000;11620000000000000000;4000000000000000000;378200000000000000;-1222700000000000000
875000000000000000000;16098000000000000;520000000000000000;11700000000000000000;2350000000000000000;7010000000000000000;2330000000000000000;378200000000000000;-1222800000000000000
831000000000000000000;14113000000000000;520000000000000000;9450000000000000000;2430000000000000000;5760000000000000000;2200000000000000000;378200000000000000;-1222800000000000000
875000000000000000000;15057000000000000;520000000000000000;12380000000000000000;2880000000000000000;6220000000000000000;2590000000000000000;378200000000000000;-1222800000000000000
853000000000000000000;8172000000000000;520000000000000000;14890000000000000000;3350000000000000000;7280000000000000000;2440000000000000000;378200000000000000;-1222800000000000000
803000000000000000000;12171000000000000;520000000000000000;13870000000000000000;3410000000000000000;10740000000000000000;3040000000000000000;378200000000000000;-1222800000000000000
600000000000000000000;25625000000000000;20000000000000000;1580000000000000000;430000000000000000;940000000000000000;570000000000000000;378200000000000000;-1222900000000000000
757000000000000000000;33929000000000000;520000000000000000;11210000000000000000;2110000000000000000;5540000000000000000;1870000000000000000;378300000000000000;-1222900000000000000
750000000000000000000;61183000000000000;490000000000000000;1350000000000000000;290000000000000000;860000000000000000;230000000000000000;378200000000000000;-1222900000000000000
861000000000000000000;9011000000000000;500000000000000000;7600000000000000000;1900000000000000000;3770000000000000000;1220000000000000000;378100000000000000;-1222900000000000000
761000000000000000000;11910000000000000;520000000000000000;12240000000000000000;2370000000000000000;5210000000000000000;1590000000000000000;378100000000000000;-1223000000000000000
735000000000000000000;25938000000000000;480000000000000000;8280000000000000000;1820000000000000000;3920000000000000000;1330000000000000000;378100000000000000;-1223000000000000000
784000000000000000000;11667000000000000;520000000000000000;10100000000000000000;2090000000000000000;6040000000000000000;1870000000000000000;378100000000000000;-1223000000000000000
844000000000000000000;8056000000000000;480000000000000000;14550000000000000000;3540000000000000000;7880000000000000000;3320000000000000000;378100000000000000;-1223000000000000000
813000000000000000000;26094000000000000;520000000000000000;10270000000000000000;2440000000000000000;4920000000000000000;1470000000000000000;378000000000000000;-1222900000000000000
850000000000000000000;18516000000000000;520000000000000000;5720000000000000000;1090000000000000000;2740000000000000000;820000000000000000;378100000000000000;-1223000000000000000
1292000000000000000000;9802000000000000;460000000000000000;28010000000000000000;6440000000000000000;18230000000000000000;6110000000000000000;378100000000000000;-1222900000000000000
825000000000000000000;17719000000000000;260000000000000000;7680000000000000000;1520000000000000000;3920000000000000000;1270000000000000000;378100000000000000;-1222900000000000000
952000000000000000000;7286000000000000;460000000000000000;9350000000000000000;2970000000000000000;5820000000000000000;2770000000000000000;378100000000000000;-1222900000000000000
750000000000000000000;17500000000000000;490000000000000000;8440000000000000000;2040000000000000000;5600000000000000000;1520000000000000000;378100000000000000;-1222900000000000000
675000000000000000000;4999000000000000;460000000000000000;120000000000000000;40000000000000000;180000000000000000;70000000000000000;378100000000000000;-1222900000000000000
1375000000000000000000;24830000000000000;200000000000000000;8350000000000000000;1610000000000000000;2900000000000000000;1330000000000000000;378100000000000000;-1222900000000000000
1775000000000000000000;9241000000000000;170000000000000000;12370000000000000000;4620000000000000000;7620000000000000000;4390000000000000000;378100000000000000;-1222800000000000000
1021000000000000000000;24464000000000000;360000000000000000;29140000000000000000;5620000000000000000;12360000000000000000;5090000000000000000;378100000000000000;-1222800000000000000
1083000000000000000000;11111000000000000;190000000000000000;12070000000000000000;2430000000000000000;7210000000000000000;2070000000000000000;378100000000000000;-1222800000000000000
1125000000000000000000;8026000000000000;230000000000000000;17450000000000000000;3740000000000000000;10540000000000000000;3250000000000000000;378100000000000000;-1222900000000000000
1313000000000000000000;20114000000000000;380000000000000000;6840000000000000000;1760000000000000000;3440000000000000000;1550000000000000000;378000000000000000;-1222800000000000000
1625000000000000000000;15000000000000000;170000000000000000;9240000000000000000;2890000000000000000;6090000000000000000;2890000000000000000;378100000000000000;-1222800000000000000
1125000000000000000000;11667000000000000;520000000000000000;2100000000000000000;560000000000000000;1830000000000000000;560000000000000000;378100000000000000;-1222700000000000000
1125000000000000000000;15208000000000000;520000000000000000;3400000000000000000;970000000000000000;2000000000000000000;870000000000000000;378100000000000000;-1222800000000000000
1375000000000000000000;8075000000000000;520000000000000000;3860000000000000000;1640000000000000000;3460000000000000000;1550000000000000000;378100000000000000;-1222800000000000000
1188000000000000000000;18088000000000000;350000000000000000;9480000000000000000;1840000000000000000;4670000000000000000;1690000000000000000;378100000000000000;-1222800000000000000
982000000000000000000;24083000000000000;520000000000000000;7730000000000000000;1430000000000000000;3770000000000000000;1150000000000000000;378100000000000000;-1222800000000000000
1188000000000000000000;9770000000000000;400000000000000000;8800000000000000000;4510000000000000000;5820000000000000000;3800000000000000000;378100000000000000;-1222700000000000000
1625000000000000000000;7600000000000000;100000000000000000;8750000000000000000;3480000000000000000;5460000000000000000;3300000000000000000;378100000000000000;-1222700000000000000
1375000000000000000000;9722000000000000;100000000000000000;1050000000000000000;420000000000000000;1250000000000000000;390000000000000000;378000000000000000;-1222700000000000000
5000010000000000000000;12434000000000000;520000000000000000;2490000000000000000;780000000000000000;3960000000000000000;850000000000000000;378000000000000000;-1222700000000000000
1625000000000000000000;20938000000000000;160000000000000000;9940000000000000000;3920000000000000000;8000000000000000000;3620000000000000000;378000000000000000;-1222700000000000000
1375000000000000000000;8668000000000000;520000000000000000;2150000000000000000;870000000000000000;9040000000000000000;880000000000000000;378000000000000000;-1222800000000000000
1625000000000000000000;7500000000000000;520000000000000000;960000000000000000;310000000000000000;1910000000000000000;340000000000000000;378000000000000000;-1222800000000000000
1875000000000000000000;26354000000000000;270000000000000000;10550000000000000000;3470000000000000000;7180000000000000000;3020000000000000000;377900000000000000;-1222700000000000000
1792000000000000000000;18477000000000000;390000000000000000;17150000000000000000;6230000000000000000;13270000000000000000;4670000000000000000;378000000000000000;-1222700000000000000
1300000000000000000000;20096000000000000;360000000000000000;53290000000000000000;24770000000000000000;34690000000000000000;23230000000000000000;378000000000000000;-1222600000000000000
1838000000000000000000;28345000000000000;310000000000000000;45960000000000000000;13310000000000000000;20480000000000000000;11800000000000000000;378200000000000000;-1222600000000000000
1250000000000000000000;20062000000000000;290000000000000000;3350000000000000000;1070000000000000000;2020000000000000000;910000000000000000;378100000000000000;-1222600000000000000
1700000000000000000000;12185000000000000;220000000000000000;36820000000000000000;12700000000000000000;20240000000000000000;12500000000000000000;378200000000000000;-1222600000000000000
1931000000000000000000;26104000000000000;370000000000000000;36330000000000000000;10850000000000000000;18380000000000000000;9800000000000000000;378200000000000000;-1222600000000000000
2578000000000000000000;24912000000000000;290000000000000000;46560000000000000000;14140000000000000000;23040000000000000000;12500000000000000000;378100000000000000;-1222500000000000000
2734000000000000000000;32177000000000000;280000000000000000;58060000000000000000;16030000000000000000;25630000000000000000;14970000000000000000;378100000000000000;-1222500000000000000
2375000000000000000000;31250000000000000;390000000000000000;8540000000000000000;2420000000000000000;3890000000000000000;2280000000000000000;378100000000000000;-1222500000000000000
